Timestamp,Month,Day,Hour,Total Hours,Load,PV,Tou Tariff,FiT,H2 Tariff
11/01/2023,1,3,0,240,887,0,0.0509535,0.02547675,0.149392878
11/01/2023,1,3,1,241,841,0,0.0512901,0.02564505,0.257545654
11/01/2023,1,3,2,242,1054,0,0.0495792,0.0247896,0.229473
11/01/2023,1,3,3,243,1017,0,0.0486477,0.02432385,0.123449224
11/01/2023,1,3,4,244,1034,0,0.0477441,0.02387205,0.268420783
11/01/2023,1,3,5,245,1018,0,0.0431991,0.02159955,0.135278457
11/01/2023,1,3,6,246,1149.5,0,0.0593901,0.02969505,0.144631161
11/01/2023,1,3,7,247,1192.5,0,0.0955368,0.0477684,0.2799984
11/01/2023,1,3,8,248,1048,0,0.1144557,0.05722785,0.170846459
11/01/2023,1,3,9,249,1037,0,0.1215846,0.0607923,0.246474308
01/04/2023,4,5,23,2159,3731,0,0.0849249,0.04246245,0.29142579
01/04/2023,4,6,0,2160,4926,0,0.0868833,0.04344165,0.319478058
01/04/2023,4,6,1,2161,4925,0,0.0836397,0.04181985,0.360036004
01/04/2023,4,6,2,2162,4918,0,0.0830259,0.04151295,0.153576592
01/04/2023,4,6,3,2163,4853,0,0.0831591,0.04157955,0.225390207
01/04/2023,4,6,4,2164,4958,0,0.0841518,0.0420759,0.132389994
01/04/2023,4,6,5,2165,4876,0,0.08496,0.04248,0.240401349
01/04/2023,4,6,6,2166,4905,469.685,0.086454,0.043227,0.175750978
01/04/2023,4,6,7,2167,4885,19644,0.0885825,0.04429125,0.215439934
01/04/2023,4,6,8,2168,4957,18345.7,0.0910071,0.04550355,0.102172632
01/04/2023,4,6,9,2169,4261,32543.8,0.0912735,0.04563675,0.193493905
01/04/2023,4,6,10,2170,4896,69827.4,0.0911196,0.0455598,0.210212341
01/04/2023,4,6,11,2171,4868,76485.8,0.0891864,0.0445932,0.353579371
01/04/2023,4,6,12,2172,4912,46293.8,0.087723,0.0438615,0.102959518
01/04/2023,4,6,13,2173,3924,37017.2,0.0873855,0.04369275,0.304169135
01/04/2023,4,6,14,2174,3705,23921.9,0.0867708,0.0433854,0.273585919
01/04/2023,4,6,15,2175,847,24861.5,0.0866691,0.04333455,0.256369479
01/04/2023,4,6,16,2176,3050,17010.4,0.0866583,0.04332915,0.360036004
01/04/2023,4,6,17,2177,4246,10020.1,0.0883062,0.0441531,0.283268474
01/04/2023,4,6,18,2178,4215,0,0.0903528,0.0451764,0.104117512
01/04/2023,4,6,19,2179,4192,0,0.0957861,0.04789305,0.183632693
01/04/2023,4,6,20,2180,4196,0,0.0918567,0.04592835,0.281512922
01/04/2023,4,6,21,2181,4227,0,0.091089,0.0455445,0.315549115
01/04/2023,4,6,22,2182,4842,0,0.0895437,0.04477185,0.242262973
02/04/2023,4,6,23,2183,4870,0,0.0875385,0.04376925,0.360036004
02/04/2023,4,0,0,2184,5052,0,0.0891279,0.04456395,0.217826374
02/04/2023,4,0,1,2185,5090,0,0.0883953,0.04419765,0.21296375
02/04/2023,4,0,2,2186,5039,0,0.087867,0.0439335,0.098267854
02/04/2023,4,0,3,2187,5095,0,0.0878877,0.04394385,0.258436286
02/04/2023,4,0,4,2188,5438,0,0.0882225,0.04411125,0.176542138
02/04/2023,4,0,5,2189,5360,0,0.0885177,0.04425885,0.16235807
02/04/2023,4,0,6,2190,5360,501.843,0.0892593,0.04462965,0.24621111
02/04/2023,4,0,7,2191,5238,20235,0.089829,0.0449145,0.128042948
02/04/2023,4,0,8,2192,5396,18259.8,0.0903267,0.04516335,0.336973942
02/04/2023,4,0,9,2193,5334,32801.9,0.0911502,0.0455751,0.113125099
02/04/2023,4,0,10,2194,5387,48105.6,0.0912015,0.04560075,0.173671134
02/04/2023,4,0,11,2195,5446,55117.2,0.0905508,0.0452754,0.17321545
02/04/2023,4,0,12,2196,5330,61654.5,0.0897273,0.04486365,0.127422741
02/04/2023,4,0,13,2197,4169,57618.6,0.0886599,0.04432995,0.18237302
02/04/2023,4,0,14,2198,4135,47247.7,0.0878472,0.0439236,0.152672146
02/04/2023,4,0,15,2199,2608,54551.3,0.0872676,0.0436338,0.353396598
02/04/2023,4,0,16,2200,3165,36887.1,0.0866673,0.04333365,0.360036004
02/04/2023,4,0,17,2201,3008,5238.52,0.0925938,0.0462969,0.320809826
02/04/2023,4,0,18,2202,3044,135.664,0.098703,0.0493515,0.204842678
